"X33333","X66667","X1e.05"
"545",383,654,534
"546",749,896,166
"547",182,218,599
"548",364,416,942
"549",381,857,824
"550",19,332,430
"551",201,932,683
"552",275,582,732
"553",723,899,470
"554",65,913,502
"555",448,222,140
"556",337,457,351
"557",892,40,129
"558",463,782,693
"559",511,727,451
"560",850,116,428
"561",426,447,837
"562",826,80,499
"563",240,812,390
"564",257,399,255
"565",822,59,70
"566",231,216,396
"567",597,46,23
"568",30,911,276
"569",488,625,478
"570",890,772,924
"571",886,820,104
"572",174,16,643
"573",893,793,474
"574",756,432,731
"575",891,412,132
"576",123,585,81
"577",272,486,383
"578",339,570,749
"579",604,47,182
"580",472,322,723
"581",678,184,275
"582",363,125,201
"583",552,38,19
"584",256,507,381
"585",281,724,364
"586",611,411,628
"587",263,637,67
"588",43,667,144
"589",464,33,18
"590",9,305,106
"591",44,39,624
"592",204,197,384
"593",237,443,302
"594",8,717,527
"595",946,710,956
"596",811,843,779
"597",369,309,674
"598",816,730,872
"599",94,310,37
"600",130,635,65
"601",638,296,448
"602",203,935,337
"603",515,522,892
"604",536,326,463
"605",663,500,511
"606",313,269,850
"607",187,762,426
"608",151,910,826
"609",83,823,240
"610",423,75,257
"611",148,496,536
"612",333,535,313
"613",196,369,822
"614",602,221,231
"615",831,816,597
"616",864,94,30
"617",845,811,488
"618",875,946,811
"619",146,8,946
"620",271,237,8
"621",929,204,237
"622",206,44,204
"623",422,9,44
"624",98,464,9
"625",365,43,464
"626",844,263,43
"627",798,611,263
"628",787,281,611
"629",105,256,281
"630",713,552,256
"631",476,363,552
"632",612,678,363
"633",450,472,678
"634",914,604,472
"635",262,339,604
"636",344,272,339
"637",279,123,272
"638",51,891,123
"639",297,756,891
"640",3,893,756
"641",52,174,893
"642",507,886,174
"643",724,890,886
"644",411,268,890
"645",33,258,268
"646",667,518,258
"647",637,172,518
"648",38,421,172
"649",125,173,421
"650",184,902,173
"651",322,469,902
"652",47,922,469
"653",570,614,922
"654",486,926,614
