"X10000","X20000","X30000"
"466",56,182,444
"467",262,187,286
"468",303,178,369
"469",466,208,232
"470",259,314,235
"471",436,152,410
"472",60,427,273
"473",477,329,30
"474",139,364,458
"475",381,421,86
"476",204,357,243
"477",387,279,415
"478",161,131,118
"479",300,298,330
"480",120,275,257
